timestamp,wagon_id,train_id,event,location,status
360.0,W0001,T1,ARRIVED,collection,ARRIVED
398.0,W0001,,ON_RETROFIT_TRACK,retrofit,WAITING
413.0,W0001,,AT_WORKSHOP,WS_01,READY
413.0,W0001,,RETROFIT_STARTED,WS_01,RETROFITTING
473.0,W0001,,RETROFIT_COMPLETED,WS_01,COMPLETED
482.0,W0001,,PARKED,parking1,PARKED
360.0,W0002,T1,ARRIVED,collection,ARRIVED
398.0,W0002,,ON_RETROFIT_TRACK,retrofit,WAITING
413.0,W0002,,AT_WORKSHOP,WS_01,READY
413.0,W0002,,RETROFIT_STARTED,WS_01,RETROFITTING
473.0,W0002,,RETROFIT_COMPLETED,WS_01,COMPLETED
482.0,W0002,,PARKED,parking1,PARKED
360.0,W0003,T1,ARRIVED,collection,ARRIVED
398.0,W0003,,ON_RETROFIT_TRACK,retrofit,WAITING
428.0,W0003,,AT_WORKSHOP,WS_02,READY
428.0,W0003,,RETROFIT_STARTED,WS_02,RETROFITTING
488.0,W0003,,RETROFIT_COMPLETED,WS_02,COMPLETED
507.0,W0003,,PARKED,parking2,PARKED
360.0,W0004,T1,ARRIVED,collection,ARRIVED
398.0,W0004,,ON_RETROFIT_TRACK,retrofit,WAITING
428.0,W0004,,AT_WORKSHOP,WS_02,READY
428.0,W0004,,RETROFIT_STARTED,WS_02,RETROFITTING
488.0,W0004,,RETROFIT_COMPLETED,WS_02,COMPLETED
507.0,W0004,,PARKED,parking2,PARKED
360.0,W0005,T1,ARRIVED,collection,ARRIVED
398.0,W0005,,ON_RETROFIT_TRACK,retrofit,WAITING
497.0,W0005,,AT_WORKSHOP,WS_01,READY
497.0,W0005,,RETROFIT_STARTED,WS_01,RETROFITTING
557.0,W0005,,RETROFIT_COMPLETED,WS_01,COMPLETED
566.0,W0005,,PARKED,parking3,PARKED
360.0,W0006,T1,ARRIVED,collection,ARRIVED
398.0,W0006,,ON_RETROFIT_TRACK,retrofit,WAITING
497.0,W0006,,AT_WORKSHOP,WS_01,READY
497.0,W0006,,RETROFIT_STARTED,WS_01,RETROFITTING
557.0,W0006,,RETROFIT_COMPLETED,WS_01,COMPLETED
566.0,W0006,,PARKED,parking3,PARKED
648.0,W0007,T2,ARRIVED,collection,ARRIVED
746.0,W0007,,ON_RETROFIT_TRACK,retrofit,WAITING
761.0,W0007,,AT_WORKSHOP,WS_01,READY
761.0,W0007,,RETROFIT_STARTED,WS_01,RETROFITTING
821.0,W0007,,RETROFIT_COMPLETED,WS_01,COMPLETED
830.0,W0007,,PARKED,parking5,PARKED
648.0,W0008,T2,ARRIVED,collection,ARRIVED
746.0,W0008,,ON_RETROFIT_TRACK,retrofit,WAITING
761.0,W0008,,AT_WORKSHOP,WS_01,READY
761.0,W0008,,RETROFIT_STARTED,WS_01,RETROFITTING
821.0,W0008,,RETROFIT_COMPLETED,WS_01,COMPLETED
830.0,W0008,,PARKED,parking5,PARKED
648.0,W0009,T2,ARRIVED,collection,ARRIVED
746.0,W0009,,ON_RETROFIT_TRACK,retrofit,WAITING
776.0,W0009,,AT_WORKSHOP,WS_02,READY
776.0,W0009,,RETROFIT_STARTED,WS_02,RETROFITTING
836.0,W0009,,RETROFIT_COMPLETED,WS_02,COMPLETED
855.0,W0009,,PARKED,parking6,PARKED
648.0,W0010,T2,ARRIVED,collection,ARRIVED
746.0,W0010,,ON_RETROFIT_TRACK,retrofit,WAITING
776.0,W0010,,AT_WORKSHOP,WS_02,READY
776.0,W0010,,RETROFIT_STARTED,WS_02,RETROFITTING
836.0,W0010,,RETROFIT_COMPLETED,WS_02,COMPLETED
855.0,W0010,,PARKED,parking6,PARKED
648.0,W0011,T2,ARRIVED,collection,ARRIVED
746.0,W0011,,ON_RETROFIT_TRACK,retrofit,WAITING
845.0,W0011,,AT_WORKSHOP,WS_01,READY
845.0,W0011,,RETROFIT_STARTED,WS_01,RETROFITTING
905.0,W0011,,RETROFIT_COMPLETED,WS_01,COMPLETED
914.0,W0011,,PARKED,parking7,PARKED
648.0,W0012,T2,ARRIVED,collection,ARRIVED
746.0,W0012,,ON_RETROFIT_TRACK,retrofit,WAITING
845.0,W0012,,AT_WORKSHOP,WS_01,READY
845.0,W0012,,RETROFIT_STARTED,WS_01,RETROFITTING
905.0,W0012,,RETROFIT_COMPLETED,WS_01,COMPLETED
914.0,W0012,,PARKED,parking7,PARKED
648.0,W0013,T2,ARRIVED,collection,ARRIVED
746.0,W0013,,ON_RETROFIT_TRACK,retrofit,WAITING
870.0,W0013,,AT_WORKSHOP,WS_02,READY
870.0,W0013,,RETROFIT_STARTED,WS_02,RETROFITTING
930.0,W0013,,RETROFIT_COMPLETED,WS_02,COMPLETED
939.0,W0013,,PARKED,parking8,PARKED
648.0,W0014,T2,ARRIVED,collection,ARRIVED
746.0,W0014,,ON_RETROFIT_TRACK,retrofit,WAITING
870.0,W0014,,AT_WORKSHOP,WS_02,READY
870.0,W0014,,RETROFIT_STARTED,WS_02,RETROFITTING
930.0,W0014,,RETROFIT_COMPLETED,WS_02,COMPLETED
939.0,W0014,,PARKED,parking8,PARKED
648.0,W0015,T2,ARRIVED,collection,ARRIVED
746.0,W0015,,ON_RETROFIT_TRACK,retrofit,WAITING
929.0,W0015,,AT_WORKSHOP,WS_01,READY
929.0,W0015,,RETROFIT_STARTED,WS_01,RETROFITTING
989.0,W0015,,RETROFIT_COMPLETED,WS_01,COMPLETED
1042.0,W0015,,PARKED,parking9,PARKED
648.0,W0016,T2,ARRIVED,collection,ARRIVED
746.0,W0016,,ON_RETROFIT_TRACK,retrofit,WAITING
929.0,W0016,,AT_WORKSHOP,WS_01,READY
929.0,W0016,,RETROFIT_STARTED,WS_01,RETROFITTING
989.0,W0016,,RETROFIT_COMPLETED,WS_01,COMPLETED
1042.0,W0016,,PARKED,parking9,PARKED
648.0,W0017,T2,ARRIVED,collection,ARRIVED
746.0,W0017,,ON_RETROFIT_TRACK,retrofit,WAITING
1017.0,W0017,,AT_WORKSHOP,WS_02,READY
1017.0,W0017,,RETROFIT_STARTED,WS_02,RETROFITTING
1077.0,W0017,,RETROFIT_COMPLETED,WS_02,COMPLETED
1086.0,W0017,,PARKED,parking10,PARKED
648.0,W0018,T2,ARRIVED,collection,ARRIVED
746.0,W0018,,ON_RETROFIT_TRACK,retrofit,WAITING
1017.0,W0018,,AT_WORKSHOP,WS_02,READY
1017.0,W0018,,RETROFIT_STARTED,WS_02,RETROFITTING
1077.0,W0018,,RETROFIT_COMPLETED,WS_02,COMPLETED
1086.0,W0018,,PARKED,parking10,PARKED
648.0,W0019,T2,ARRIVED,collection,ARRIVED
746.0,W0019,,ON_RETROFIT_TRACK,retrofit,WAITING
1081.0,W0019,,AT_WORKSHOP,WS_02,READY
1081.0,W0019,,RETROFIT_STARTED,WS_02,RETROFITTING
1141.0,W0019,,RETROFIT_COMPLETED,WS_02,COMPLETED
1151.0,W0019,,PARKED,parking12,PARKED
648.0,W0020,T2,ARRIVED,collection,ARRIVED
746.0,W0020,,ON_RETROFIT_TRACK,retrofit,WAITING
1081.0,W0020,,AT_WORKSHOP,WS_02,READY
1081.0,W0020,,RETROFIT_STARTED,WS_02,RETROFITTING
1141.0,W0020,,RETROFIT_COMPLETED,WS_02,COMPLETED
1151.0,W0020,,PARKED,parking12,PARKED
648.0,W0021,T2,ARRIVED,collection,ARRIVED
746.0,W0021,,ON_RETROFIT_TRACK,retrofit,WAITING
1057.0,W0021,,AT_WORKSHOP,WS_01,READY
1057.0,W0021,,RETROFIT_STARTED,WS_01,RETROFITTING
1117.0,W0021,,RETROFIT_COMPLETED,WS_01,COMPLETED
1126.0,W0021,,PARKED,parking11,PARKED
648.0,W0022,T2,ARRIVED,collection,ARRIVED
746.0,W0022,,ON_RETROFIT_TRACK,retrofit,WAITING
1057.0,W0022,,AT_WORKSHOP,WS_01,READY
1057.0,W0022,,RETROFIT_STARTED,WS_01,RETROFITTING
1117.0,W0022,,RETROFIT_COMPLETED,WS_01,COMPLETED
1126.0,W0022,,PARKED,parking11,PARKED
648.0,W0023,T2,ARRIVED,collection,ARRIVED
1282.0,W0023,,ON_RETROFIT_TRACK,retrofit,WAITING
1381.0,W0023,,AT_WORKSHOP,WS_01,READY
1381.0,W0023,,RETROFIT_STARTED,WS_01,RETROFITTING
1441.0,W0023,,RETROFIT_COMPLETED,WS_01,COMPLETED
1450.0,W0023,,PARKED,parking2,PARKED
648.0,W0024,T2,ARRIVED,collection,ARRIVED
1282.0,W0024,,ON_RETROFIT_TRACK,retrofit,WAITING
1381.0,W0024,,AT_WORKSHOP,WS_01,READY
1381.0,W0024,,RETROFIT_STARTED,WS_01,RETROFITTING
1441.0,W0024,,RETROFIT_COMPLETED,WS_01,COMPLETED
1450.0,W0024,,PARKED,parking2,PARKED
648.0,W0025,T2,ARRIVED,rejected,REJECTED
648.0,W0026,T2,ARRIVED,rejected,REJECTED
648.0,W0027,T2,ARRIVED,rejected,REJECTED
648.0,W0028,T2,ARRIVED,rejected,REJECTED
648.0,W0029,T2,ARRIVED,rejected,REJECTED
648.0,W0030,T2,ARRIVED,rejected,REJECTED
648.0,W0031,T2,ARRIVED,rejected,REJECTED
648.0,W0032,T2,ARRIVED,rejected,REJECTED
648.0,W0033,T2,ARRIVED,rejected,REJECTED
648.0,W0034,T2,ARRIVED,rejected,REJECTED
648.0,W0035,T2,ARRIVED,rejected,REJECTED
648.0,W0036,T2,ARRIVED,rejected,REJECTED
648.0,W0037,T2,ARRIVED,rejected,REJECTED
648.0,W0038,T2,ARRIVED,rejected,REJECTED
936.0,W0039,T3,ARRIVED,collection,ARRIVED
1002.0,W0039,,ON_RETROFIT_TRACK,retrofit,WAITING
1141.0,W0039,,AT_WORKSHOP,WS_01,READY
1141.0,W0039,,RETROFIT_STARTED,WS_01,RETROFITTING
1201.0,W0039,,RETROFIT_COMPLETED,WS_01,COMPLETED
1210.0,W0039,,PARKED,parking13,PARKED
936.0,W0040,T3,ARRIVED,collection,ARRIVED
1002.0,W0040,,ON_RETROFIT_TRACK,retrofit,WAITING
1141.0,W0040,,AT_WORKSHOP,WS_01,READY
1141.0,W0040,,RETROFIT_STARTED,WS_01,RETROFITTING
1201.0,W0040,,RETROFIT_COMPLETED,WS_01,COMPLETED
1210.0,W0040,,PARKED,parking13,PARKED
936.0,W0041,T3,ARRIVED,collection,ARRIVED
1002.0,W0041,,ON_RETROFIT_TRACK,retrofit,WAITING
1166.0,W0041,,AT_WORKSHOP,WS_02,READY
1166.0,W0041,,RETROFIT_STARTED,WS_02,RETROFITTING
1226.0,W0041,,RETROFIT_COMPLETED,WS_02,COMPLETED
1297.0,W0041,,PARKED,parking14,PARKED
936.0,W0042,T3,ARRIVED,collection,ARRIVED
1002.0,W0042,,ON_RETROFIT_TRACK,retrofit,WAITING
1166.0,W0042,,AT_WORKSHOP,WS_02,READY
1166.0,W0042,,RETROFIT_STARTED,WS_02,RETROFITTING
1226.0,W0042,,RETROFIT_COMPLETED,WS_02,COMPLETED
1297.0,W0042,,PARKED,parking14,PARKED
936.0,W0043,T3,ARRIVED,collection,ARRIVED
1002.0,W0043,,ON_RETROFIT_TRACK,retrofit,WAITING
1225.0,W0043,,AT_WORKSHOP,WS_01,READY
1225.0,W0043,,RETROFIT_STARTED,WS_01,RETROFITTING
1285.0,W0043,,RETROFIT_COMPLETED,WS_01,COMPLETED
1302.0,W0043,,PARKED,parking15,PARKED
936.0,W0044,T3,ARRIVED,collection,ARRIVED
1002.0,W0044,,ON_RETROFIT_TRACK,retrofit,WAITING
1225.0,W0044,,AT_WORKSHOP,WS_01,READY
1225.0,W0044,,RETROFIT_STARTED,WS_01,RETROFITTING
1285.0,W0044,,RETROFIT_COMPLETED,WS_01,COMPLETED
1302.0,W0044,,PARKED,parking15,PARKED
936.0,W0045,T3,ARRIVED,collection,ARRIVED
1002.0,W0045,,ON_RETROFIT_TRACK,retrofit,WAITING
1317.0,W0045,,AT_WORKSHOP,WS_01,READY
1317.0,W0045,,RETROFIT_STARTED,WS_01,RETROFITTING
1377.0,W0045,,RETROFIT_COMPLETED,WS_01,COMPLETED
1386.0,W0045,,PARKED,parking16,PARKED
936.0,W0046,T3,ARRIVED,collection,ARRIVED
1002.0,W0046,,ON_RETROFIT_TRACK,retrofit,WAITING
1317.0,W0046,,AT_WORKSHOP,WS_01,READY
1317.0,W0046,,RETROFIT_STARTED,WS_01,RETROFITTING
1377.0,W0046,,RETROFIT_COMPLETED,WS_01,COMPLETED
1386.0,W0046,,PARKED,parking16,PARKED
936.0,W0047,T3,ARRIVED,collection,ARRIVED
1002.0,W0047,,ON_RETROFIT_TRACK,retrofit,WAITING
1332.0,W0047,,AT_WORKSHOP,WS_02,READY
1332.0,W0047,,RETROFIT_STARTED,WS_02,RETROFITTING
1392.0,W0047,,RETROFIT_COMPLETED,WS_02,COMPLETED
1401.0,W0047,,PARKED,parking1,PARKED
936.0,W0048,T3,ARRIVED,collection,ARRIVED
1002.0,W0048,,ON_RETROFIT_TRACK,retrofit,WAITING
1332.0,W0048,,AT_WORKSHOP,WS_02,READY
1332.0,W0048,,RETROFIT_STARTED,WS_02,RETROFITTING
