timestamp,datetime,event_type,resource_type,resource_id,details
360.0,2025-12-01T06:00:00+00:00,WagonARRIVEDEvent,wagon,W0001,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T1"", ""rejection_reason"": """", ""rejection_description"": """"}"
360.0,2025-12-01T06:00:00+00:00,WagonARRIVEDEvent,wagon,W0002,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T1"", ""rejection_reason"": """", ""rejection_description"": """"}"
360.0,2025-12-01T06:00:00+00:00,WagonARRIVEDEvent,wagon,W0003,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T1"", ""rejection_reason"": """", ""rejection_description"": """"}"
360.0,2025-12-01T06:00:00+00:00,WagonARRIVEDEvent,wagon,W0004,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T1"", ""rejection_reason"": """", ""rejection_description"": """"}"
360.0,2025-12-01T06:00:00+00:00,WagonARRIVEDEvent,wagon,W0005,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T1"", ""rejection_reason"": """", ""rejection_description"": """"}"
360.0,2025-12-01T06:00:00+00:00,WagonARRIVEDEvent,wagon,W0006,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T1"", ""rejection_reason"": """", ""rejection_description"": """"}"
360.0,2025-12-01T06:00:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""track_19"", ""to_location"": ""collection1"", ""purpose"": """"}"
420.0,2025-12-01T07:00:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0001,"{""location"": ""collection1"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
420.0,2025-12-01T07:00:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0002,"{""location"": ""collection1"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
420.0,2025-12-01T07:00:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0003,"{""location"": ""collection1"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
420.0,2025-12-01T07:00:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0004,"{""location"": ""collection1"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
420.0,2025-12-01T07:00:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0005,"{""location"": ""collection1"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
420.0,2025-12-01T07:00:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0006,"{""location"": ""collection1"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
420.0,2025-12-01T07:00:00+00:00,LocomotiveALLOCATEDEvent,locomotive,LOCO_01,"{""from_location"": """", ""to_location"": """", ""purpose"": ""batch_transport""}"
420.0,2025-12-01T07:00:00+00:00,BatchFormed,batch,BATCH_retrofit_6_2500866325680,"{""destination"": ""retrofit"", ""wagon_count"": 6, ""locomotive_id"": """", ""wagon_ids"": ""W0001,W0002,W0003,W0004,W0005,W0006""}"
433.0,2025-12-01T07:13:00+00:00,WagonMOVINGEvent,wagon,W0001,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
433.0,2025-12-01T07:13:00+00:00,WagonMOVINGEvent,wagon,W0002,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
433.0,2025-12-01T07:13:00+00:00,WagonMOVINGEvent,wagon,W0003,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
433.0,2025-12-01T07:13:00+00:00,WagonMOVINGEvent,wagon,W0004,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
433.0,2025-12-01T07:13:00+00:00,WagonMOVINGEvent,wagon,W0005,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
433.0,2025-12-01T07:13:00+00:00,WagonMOVINGEvent,wagon,W0006,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
433.0,2025-12-01T07:13:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""collection1"", ""to_location"": ""retrofit1"", ""purpose"": """"}"
433.0,2025-12-01T07:13:00+00:00,BatchTransportStarted,batch,BATCH_retrofit_6_2500866325680,"{""destination"": ""retrofit"", ""wagon_count"": 6, ""locomotive_id"": ""LOCO_01""}"
493.0,2025-12-01T08:13:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0001,"{""location"": ""retrofit1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
493.0,2025-12-01T08:13:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0002,"{""location"": ""retrofit1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
493.0,2025-12-01T08:13:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0003,"{""location"": ""retrofit1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
493.0,2025-12-01T08:13:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0004,"{""location"": ""retrofit1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
493.0,2025-12-01T08:13:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0005,"{""location"": ""retrofit1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
493.0,2025-12-01T08:13:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0006,"{""location"": ""retrofit1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
493.0,2025-12-01T08:13:00+00:00,BatchArrivedAtDestination,batch,BATCH_retrofit_6_2500866325680,"{""destination"": ""retrofit"", ""wagon_count"": 6, ""locomotive_id"": """"}"
495.0,2025-12-01T08:15:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""track_19"", ""to_location"": ""retrofit1"", ""purpose"": """"}"
495.0,2025-12-01T08:15:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""track_19"", ""to_location"": ""retrofit1"", ""purpose"": """"}"
495.0,2025-12-01T08:15:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_04,"{""from_location"": ""track_19"", ""to_location"": ""retrofit1"", ""purpose"": """"}"
503.0,2025-12-01T08:23:00+00:00,WagonMOVINGEvent,wagon,W0001,"{""location"": ""retrofit1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
503.0,2025-12-01T08:23:00+00:00,WagonMOVINGEvent,wagon,W0002,"{""location"": ""retrofit1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
503.0,2025-12-01T08:23:00+00:00,WagonMOVINGEvent,wagon,W0003,"{""location"": ""retrofit1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
503.0,2025-12-01T08:23:00+00:00,WagonMOVINGEvent,wagon,W0004,"{""location"": ""retrofit1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
503.0,2025-12-01T08:23:00+00:00,WagonMOVINGEvent,wagon,W0005,"{""location"": ""retrofit1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
503.0,2025-12-01T08:23:00+00:00,WagonMOVINGEvent,wagon,W0006,"{""location"": ""retrofit1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
503.0,2025-12-01T08:23:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""retrofit1"", ""to_location"": ""WS_01"", ""purpose"": """"}"
503.0,2025-12-01T08:23:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""retrofit1"", ""to_location"": ""WS_02"", ""purpose"": """"}"
503.0,2025-12-01T08:23:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_04,"{""from_location"": ""retrofit1"", ""to_location"": ""WS_03"", ""purpose"": """"}"
508.0,2025-12-01T08:28:00+00:00,WagonAT_WORKSHOPEvent,wagon,W0001,"{""location"": ""WS_01"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
508.0,2025-12-01T08:28:00+00:00,WagonAT_WORKSHOPEvent,wagon,W0002,"{""location"": ""WS_01"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
508.0,2025-12-01T08:28:00+00:00,WagonAT_WORKSHOPEvent,wagon,W0003,"{""location"": ""WS_02"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
508.0,2025-12-01T08:28:00+00:00,WagonAT_WORKSHOPEvent,wagon,W0004,"{""location"": ""WS_02"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
508.0,2025-12-01T08:28:00+00:00,WagonAT_WORKSHOPEvent,wagon,W0005,"{""location"": ""WS_03"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
508.0,2025-12-01T08:28:00+00:00,WagonAT_WORKSHOPEvent,wagon,W0006,"{""location"": ""WS_03"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
514.0,2025-12-01T08:34:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0001,"{""location"": ""WS_01"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
514.0,2025-12-01T08:34:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0002,"{""location"": ""WS_01"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
514.0,2025-12-01T08:34:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0003,"{""location"": ""WS_02"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
514.0,2025-12-01T08:34:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0004,"{""location"": ""WS_02"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
514.0,2025-12-01T08:34:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0005,"{""location"": ""WS_03"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
514.0,2025-12-01T08:34:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0006,"{""location"": ""WS_03"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
514.0,2025-12-01T08:34:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""WS_01"", ""to_location"": ""track_19"", ""purpose"": """"}"
514.0,2025-12-01T08:34:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""WS_02"", ""to_location"": ""track_19"", ""purpose"": """"}"
514.0,2025-12-01T08:34:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_04,"{""from_location"": ""WS_03"", ""to_location"": ""track_19"", ""purpose"": """"}"
526.0,2025-12-01T08:46:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""retrofit1"", ""to_location"": ""track_19"", ""purpose"": """"}"
531.0,2025-12-01T08:51:00+00:00,LocomotivePARKINGEvent,locomotive,LOCO_01,"{""from_location"": """", ""to_location"": """", ""purpose"": """"}"
574.0,2025-12-01T09:34:00+00:00,WagonRETROFIT_COMPLETEDEvent,wagon,W0001,"{""location"": ""WS_01"", ""status"": ""COMPLETED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
