timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
360.0,2025-12-01T06:00:00+00:00,LOCO_01,MOVING,track_19,collection1,
420.0,2025-12-01T07:00:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
433.0,2025-12-01T07:13:00+00:00,LOCO_01,MOVING,collection1,retrofit1,
495.0,2025-12-01T08:15:00+00:00,LOCO_02,MOVING,track_19,retrofit1,
495.0,2025-12-01T08:15:00+00:00,LOCO_03,MOVING,track_19,retrofit1,
495.0,2025-12-01T08:15:00+00:00,LOCO_04,MOVING,track_19,retrofit1,
503.0,2025-12-01T08:23:00+00:00,LOCO_02,MOVING,retrofit1,WS_01,
503.0,2025-12-01T08:23:00+00:00,LOCO_03,MOVING,retrofit1,WS_02,
503.0,2025-12-01T08:23:00+00:00,LOCO_04,MOVING,retrofit1,WS_03,
514.0,2025-12-01T08:34:00+00:00,LOCO_02,MOVING,WS_01,track_19,
514.0,2025-12-01T08:34:00+00:00,LOCO_03,MOVING,WS_02,track_19,
514.0,2025-12-01T08:34:00+00:00,LOCO_04,MOVING,WS_03,track_19,
526.0,2025-12-01T08:46:00+00:00,LOCO_01,MOVING,retrofit1,track_19,
531.0,2025-12-01T08:51:00+00:00,LOCO_01,PARKING,,,
574.5,2025-12-01T09:34:30+00:00,LOCO_02,MOVING,track_19,WS_01,
574.5,2025-12-01T09:34:30+00:00,LOCO_03,MOVING,track_19,WS_02,
574.5,2025-12-01T09:34:30+00:00,LOCO_04,MOVING,track_19,WS_03,
581.5,2025-12-01T09:41:30+00:00,LOCO_02,MOVING,WS_01,retrofitted1,
581.5,2025-12-01T09:41:30+00:00,LOCO_03,MOVING,WS_02,retrofitted1,
581.5,2025-12-01T09:41:30+00:00,LOCO_04,MOVING,WS_03,retrofitted1,
586.5,2025-12-01T09:46:30+00:00,LOCO_02,MOVING,retrofitted1,track_19,
586.5,2025-12-01T09:46:30+00:00,LOCO_03,MOVING,retrofitted1,track_19,
586.5,2025-12-01T09:46:30+00:00,LOCO_04,MOVING,retrofitted1,track_19,
586.5,2025-12-01T09:46:30+00:00,LOCO_01,ALLOCATED,,,batch_transport
586.5,2025-12-01T09:46:30+00:00,LOCO_01,MOVING,track_19,retrofitted1,
595.5,2025-12-01T09:55:30+00:00,LOCO_01,MOVING,retrofitted1,parking10,
648.0,2025-12-01T10:48:00+00:00,LOCO_02,MOVING,track_19,collection1,
661.0,2025-12-01T11:01:00+00:00,LOCO_01,MOVING,parking10,track_19,
708.0,2025-12-01T11:48:00+00:00,LOCO_02,ALLOCATED,,,batch_transport
741.0,2025-12-01T12:21:00+00:00,LOCO_02,MOVING,collection1,retrofit1,
803.0,2025-12-01T13:23:00+00:00,LOCO_03,MOVING,track_19,retrofit1,
803.0,2025-12-01T13:23:00+00:00,LOCO_04,MOVING,track_19,retrofit1,
803.0,2025-12-01T13:23:00+00:00,LOCO_01,MOVING,track_19,retrofit1,
811.0,2025-12-01T13:31:00+00:00,LOCO_03,MOVING,retrofit1,WS_01,
811.0,2025-12-01T13:31:00+00:00,LOCO_04,MOVING,retrofit1,WS_02,
811.0,2025-12-01T13:31:00+00:00,LOCO_01,MOVING,retrofit1,WS_03,
822.0,2025-12-01T13:42:00+00:00,LOCO_03,MOVING,WS_01,track_19,
822.0,2025-12-01T13:42:00+00:00,LOCO_04,MOVING,WS_02,track_19,
822.0,2025-12-01T13:42:00+00:00,LOCO_01,MOVING,WS_03,track_19,
882.5,2025-12-01T14:42:30+00:00,LOCO_03,MOVING,track_19,WS_01,
882.5,2025-12-01T14:42:30+00:00,LOCO_04,MOVING,track_19,WS_02,
882.5,2025-12-01T14:42:30+00:00,LOCO_01,MOVING,track_19,WS_03,
889.5,2025-12-01T14:49:30+00:00,LOCO_03,MOVING,WS_01,retrofitted1,
889.5,2025-12-01T14:49:30+00:00,LOCO_04,MOVING,WS_02,retrofitted1,
889.5,2025-12-01T14:49:30+00:00,LOCO_01,MOVING,WS_03,retrofitted1,
894.0,2025-12-01T14:54:00+00:00,LOCO_02,MOVING,retrofit1,track_19,
894.5,2025-12-01T14:54:30+00:00,LOCO_03,MOVING,retrofitted1,track_19,
894.5,2025-12-01T14:54:30+00:00,LOCO_04,MOVING,retrofitted1,track_19,
