timestamp,datetime,workshop_id,change_type,total_bays,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
514.0,2025-12-01T08:34:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
514.0,2025-12-01T08:34:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
514.0,2025-12-01T08:34:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
574.0,2025-12-01T09:34:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
574.0,2025-12-01T09:34:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
574.0,2025-12-01T09:34:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
822.0,2025-12-01T13:42:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
822.0,2025-12-01T13:42:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
822.0,2025-12-01T13:42:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
882.0,2025-12-01T14:42:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
882.0,2025-12-01T14:42:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
882.0,2025-12-01T14:42:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
920.5,2025-12-01T15:20:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
920.5,2025-12-01T15:20:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
946.5,2025-12-01T15:46:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
980.5,2025-12-01T16:20:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
980.5,2025-12-01T16:20:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1006.5,2025-12-01T16:46:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
1036.0,2025-12-01T17:16:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1062.0,2025-12-01T17:42:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1088.0,2025-12-01T18:08:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
1096.0,2025-12-01T18:16:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1122.0,2025-12-01T18:42:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1134.5,2025-12-01T18:54:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1148.0,2025-12-01T19:08:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
1169.0,2025-12-01T19:29:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1186.5,2025-12-01T19:46:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
1194.5,2025-12-01T19:54:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1229.0,2025-12-01T20:29:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1233.0,2025-12-01T20:33:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1246.5,2025-12-01T20:46:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
1293.0,2025-12-01T21:33:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1293.0,2025-12-01T21:33:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1319.0,2025-12-01T21:59:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
1351.5,2025-12-01T22:31:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1353.0,2025-12-01T22:33:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1379.0,2025-12-01T22:59:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
1394.5,2025-12-01T23:14:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1411.5,2025-12-01T23:31:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1450.0,2025-12-02T00:10:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
1454.5,2025-12-02T00:14:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1476.0,2025-12-02T00:36:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1502.0,2025-12-02T01:02:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1510.0,2025-12-02T01:10:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
1536.0,2025-12-02T01:36:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1548.5,2025-12-02T01:48:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
1562.0,2025-12-02T02:02:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1600.5,2025-12-02T02:40:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1608.5,2025-12-02T02:48:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
1626.5,2025-12-02T03:06:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1652.5,2025-12-02T03:32:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
1660.5,2025-12-02T03:40:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1686.5,2025-12-02T04:06:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1699.0,2025-12-02T04:19:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1712.5,2025-12-02T04:32:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
1746.5,2025-12-02T05:06:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1759.0,2025-12-02T05:19:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1772.5,2025-12-02T05:32:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
1805.5,2025-12-02T06:05:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1806.5,2025-12-02T06:06:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1832.5,2025-12-02T06:32:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
1848.5,2025-12-02T06:48:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1865.5,2025-12-02T07:05:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1908.5,2025-12-02T07:48:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
